month,year,num,month_num
Январь,2006,2757,1
Февраль,2006,2755,2
Март,2006,3693,3
Апрель,2006,3667,4
Май,2006,4510,5
Июнь,2006,4309,6
Июль,2006,4072,7
Август,2006,4160,8
Сентябрь,2006,3398,9
Октябрь,2006,3386,10
Ноябрь,2006,2996,11
Декабрь,2006,2765,12
Январь,2007,3345,1
Февраль,2007,2592,2
Март,2007,3556,3
Апрель,2007,3600,4
Май,2007,4252,5
Июнь,2007,3766,6
Июль,2007,3968,7
Август,2007,3949,8
Сентябрь,2007,3048,9
Октябрь,2007,3405,10
Ноябрь,2007,2870,11
Декабрь,2007,2603,12
Январь,2008,2830,1
Февраль,2008,2696,2
Март,2008,3228,3
Апрель,2008,3399,4
Май,2008,3615,5
Июнь,2008,3590,6
Июль,2008,3958,7
Август,2008,3372,8
Сентябрь,2008,3007,9
Октябрь,2008,3136,10
Ноябрь,2008,2488,11
Декабрь,2008,2794,12
Январь,2009,2853,1
Февраль,2009,2544,2
Март,2009,3326,3
Апрель,2009,3362,4
Май,2009,3606,5
Июнь,2009,3842,6
Июль,2009,3607,7
Август,2009,3190,8
Сентябрь,2009,3046,9
Октябрь,2009,2771,10
Ноябрь,2009,2527,11
Декабрь,2009,2524,12
Январь,2010,2304,1
Февраль,2010,2077,2
Март,2010,2835,3
Апрель,2010,3068,4
Май,2010,3273,5
Июнь,2010,3339,6
Июль,2010,3289,7
Август,2010,3210,8
Сентябрь,2010,2756,9
Октябрь,2010,2505,10
Ноябрь,2010,2510,11
Декабрь,2010,2142,12
Январь,2011,2195,1
Февраль,2011,2049,2
Март,2011,2590,3
Апрель,2011,2742,4
Май,2011,3182,5
Июнь,2011,2980,6
Июль,2011,2868,7
Август,2011,2794,8
Сентябрь,2011,2528,9
Октябрь,2011,2399,10
Ноябрь,2011,2265,11
Декабрь,2011,1974,12
Январь,2012,2224,1
Февраль,2012,1940,2
Март,2012,2384,3
Апрель,2012,2642,4
Май,2012,3186,5
Июнь,2012,2801,6
Июль,2012,2866,7
Август,2012,2578,8
Сентябрь,2012,2168,9
Октябрь,2012,2395,10
Ноябрь,2012,1993,11
Декабрь,2012,1757,12
Январь,2013,2135,1
Февраль,2013,1822,2
Март,2013,2186,3
Апрель,2013,2639,4
Май,2013,2821,5
Июнь,2013,2436,6
Июль,2013,2888,7
Август,2013,2572,8
Сентябрь,2013,2089,9
Октябрь,2013,2348,10
Ноябрь,2013,2169,11
Декабрь,2013,1998,12
Январь,2014,2161,1
Февраль,2014,1771,2
Март,2014,2309,3
Апрель,2014,2367,4
Май,2014,2617,5
Июнь,2014,2319,6
Июль,2014,2570,7
Август,2014,2355,8
Сентябрь,2014,2072,9
Октябрь,2014,2009,10
Ноябрь,2014,1712,11
Декабрь,2014,1913,12
Январь,2015,2006,1
Февраль,2015,1695,2
Март,2015,2270,3
Апрель,2015,2296,4
Май,2015,2221,5
Июнь,2015,2482,6
Июль,2015,2251,7
Август,2015,2158,8
Сентябрь,2015,2030,9
Октябрь,2015,1857,10
Ноябрь,2015,1723,11
Декабрь,2015,1993,12

